name,spotify_id,genre,spotify_avatar
Da Baby ft Lil Baby,,,
DaBaby,,,
DaBaby,,,
Dababy,,,
Dae Dae,,,
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e
Damso,,,
Damso,,,
Danger,,,
David Banner,7jFaoqWPhYLrKzjzlpXmUO,,https://i.scdn.co/image/4313930ec65d6adbafdcffe5f08270de828a79df
Depeche Mode,762310PdDnwsDxAQxzQkfX,,https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c
Des'ree,,,
Desiigner,,,
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,,https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76
Devonte,,,
Diamond Platnumz,,,
Diamond Platnumz,,,
Diamond Platnumz,,,
Diamond Platnumz,,,
Diamond Platnumz,,,
Dido,2mpeljBig2IXLXRAFO9AAs,,https://i.scdn.co/image/ab6761610000e5ebf36e7b59cdaa0df8bee8e63f
Disclosure,6nS5roXSAGhTGr34W6n7Et,,https://i.scdn.co/image/ab6761610000e5eb3faf416d3be99d63fec18baa
Discobitch,48vWW7ozlrI3oT6zecxDUV,,https://i.scdn.co/image/ab67616d0000b273aefb45a6e8a68685b3b3a025
Distruction Boyz,,,
Dladla Mshunqisi,,,
Doris Day,3ESG6pj6a0LvUKklENalT6,,https://i.scdn.co/image/c11bb32e6a96a88cffce8f459ca93ef0bbc12ec6
Dr. Dre,,,
Drake,,,
Dru Hill,,,
Duffy,37NqXwtb6nIEqRt4EJSoIO,,https://i.scdn.co/image/ab6772690000dd2250e750d1aed632c37a450ffb
Duma Ntando,,,
"Earth, Wind & Fire",,,
Ed Sheeran,,,
Edward Maya,6XwwFnewNgWp81MYMK8zLq,,https://i.scdn.co/image/ab6761610000e5eb877f1dbdef641d7e31c90d4c
Elephant Man,,,
Elephant Man,,,
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c
Emilie Simon,6kLw7VpGwN4N0sBdmKhhfd,,https://i.scdn.co/image/ab6761610000e5eb2940ee9508c7ae72b8dd873b
Eminem,,,
En Vogue,,,
Ephemera,64xAHfAOo1FcDxFDrnBgmr,,https://i.scdn.co/image/ab6761610000e5ebcade8fbbec364a37e1a4998e
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,,https://i.scdn.co/image/ab6761610000e5eb145a01fb993c3088fe6ac5e7
Evanescence,5nGIFgo0shDenQYSE0Sn7c,,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b
Eve,,,
Fally Ipupa,,,
Fat Joe,3ScY9CQxNLQei8Umvpx5g6,,https://i.scdn.co/image/ab6761610000e5eba1fe5b14818dd48f0efbf919
Fat Man Scoop,,,
