id,name,spotify_id,genre,spotify_avatar
57,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,,https://i.scdn.co/image/ab6761610000e5eb81df2fa2f937029ec986bbb8
58,Bun B,45a6gCQWq61lIUDmr1tKuO,,https://i.scdn.co/image/3bba8d19446261eb36f6ce214dc472c6669536fa
59,Burna Boy,3wcj11K77LjEY1PkEazffa,,https://i.scdn.co/image/ab6761610000e5eb2d405f4858ce3cd52d409c98
60,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Rap music,https://i.scdn.co/image/ab6761610000e5eb7b31aba081ef084510cde4e3
61,CKay,048LktY5zMnakWq7PTtFrz,,https://i.scdn.co/image/ab6761610000e5eb6bc8c6ddd810306da5659254
62,Caballero & JeanJass,1mMUzAMrNqoTHgtxA0dZi6,Rap music,https://i.scdn.co/image/ab6761610000e5ebbc17ac2f9ed41684682ac6d1
63,Camille,0gOsZcHl7H3ewXVIEnWFZX,,https://i.scdn.co/image/ab6761610000e5eb11f431f95fc3776d22a5ac37
64,Captain Kid,7BEfMxbaqx6dOpbtlEqScm,,https://i.scdn.co/image/4f2f9946d13c03740d4a033c662bb3995d0c00e1
65,Cardi B,4kYSro6naA4h99UJvo89HB,Rap music,https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31
66,Carla Bruni,1HVwzNriKEjaeE06okqSpx,,https://i.scdn.co/image/ab6761610000e5eb1d05c17e7271984b1e009d6f
67,Carnage,7CCjtD0hCK005Bvg2WG1a7,Rap music,https://i.scdn.co/image/ab6761610000e5eb9dce3cbff297c22fbcd62a96
68,Cascada,0N0d3kjwdY2h7UVuTdJGfp,,https://i.scdn.co/image/ab6761610000e5eb7977be627e6c9e8018ad7831
69,Cassie,27FGXRNruFoOdf1vP8dqcH,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb9592a41ec193fd20c5372ed3
70,Cassius,4sf3QZW8a3xZ14IGsOAzoy,,https://i.scdn.co/image/ab6761610000e5eb6686276b73ec5c27ae481992
71,Castro,0LAurKItZ2c5kltNoRMtKq,,https://i.scdn.co/image/ab6761610000e5eb398e7242fda5cccab0b5e6ec
72,Cat Clyde,7oRT0oC3vhUGQJCL6CYYzk,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb1acd7024a0d1bde10d17930b
73,CeCe Peniston,5UoVLCWzOKMIJ9iioof9OD,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb7b400216c37c439df6fd49b0
74,Ceeza Milli,11b21KVATwG7LgLPiD3a1A,,https://i.scdn.co/image/ab6761610000e5eb80df5f836a383ea97dab791d
75,Celeste,49HlOY4gkHqsYG9GCuhkcc,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb3b48ae3bd4b963766b769f7c
76,Celine Dion,4S9EykWXhStSc15wEx8QFK,,https://i.scdn.co/image/ab6761610000e5ebc3b380448158e7b6e5863cde
77,Chamillionaire,6vdMPayKk8YJxxeNP5oMCb,Rap music,https://i.scdn.co/image/6e4914e9a46e7a5d4f3bdf47ddb85a78464aee05
78,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Rap music,https://i.scdn.co/image/ab6761610000e5ebe8717f034edfa96049ece459
79,Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v,,https://i.scdn.co/image/ab6761610000e5eb5c6941ccec946b6e52c87362
80,Cherish,1c70yCa8sRgIiQxl3HOEFo,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebed896a298ee61f6cec91abc4
81,Chingy,3s2wTjWxK8NOX09dmsvVOh,Rap music,https://i.scdn.co/image/ab6761610000e5ebec6d65f8f8a7a95d6c6817d7
82,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,,https://i.scdn.co/image/ab6761610000e5eb3c4c752f83e79a2f4f84341b
83,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb1fb7a2d94b56df1f8a61d779
84,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,,https://i.scdn.co/image/ab6761610000e5ebff811e1e25b9cf99dc4e544f
85,Ciara,2NdeV5rLm47xAvogXrYhJX,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb7aba0bf3576fe56c2b367c83
86,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
87,Clams Casino,5vSQUyT33qxr1xAX2Tkf3A,,https://i.scdn.co/image/ab6761610000e5ebeb01ceedf9eb7f7cf92b634a
88,Coco Jambo,5yj6LsFcAIhJvsrRnF02Gl,,
89,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,,https://i.scdn.co/image/ab6761610000e5eb08635ff0ed30023d2ee764a1
90,Colby O'Donis,7fObcBw9VM3x7ntWKCYl0z,,https://i.scdn.co/image/ab6761610000e5eb2c44e078944196a8c1eec256
91,Commodores,6twIAGnYuIT1pncMAsXnEm,,https://i.scdn.co/image/ab6761610000e5eb21a213a4fe1a6f9b45d3f7f9
92,Coolio,3y24n3XhZ96wgwRXjvS17T,Rap music,https://i.scdn.co/image/ab6761610000e5eb5ea53fc78df8f7e7559e228d
93,Corinne Bailey Rae,5gFZo6Oh5WehnbEj0XtxiF,,https://i.scdn.co/image/ab6761610000e5eb102a1c8e6a4838425728d673
94,Corneille,2GBDOaCl73BVUs2RerIme7,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb8dd642e3a61cd544d9abfee7
95,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebf5fa84e65aeb19b122aae9cb
96,Culture Club,6kz53iCdBSqhQCZ21CoLcc,,https://i.scdn.co/image/ab6761610000e5eb5903965a15551fd12feb8b87
97,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,,https://i.scdn.co/image/ab6761610000e5eb72f5bad471601240967563d6
98,Cœur De Pirate,5j4HeCoUlzhfWtjAfM1acR,,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2
99,DARKSIDE,2933wDUojoQmvqSdTAE5NB,,https://i.scdn.co/image/ab6761610000e5ebedbd92a9fcc728efed3e89b8
100,DJ Tira,4FC2wXrDWr5lLCZeAUgfVn,,https://i.scdn.co/image/ab6761610000e5eb91b0f2590693ad44d3377c1e
101,DMX,1HwM5zlC5qNWhJtM00yXzG,Rap music,https://i.scdn.co/image/ab6761610000e5ebd3258669d149a2e4e247a3d2
103,DaBaby,4r63FhuTkUYltbVAg5TQnk,Rap music,https://i.scdn.co/image/ab6761610000e5ebbd6918901c1714560669f570
105,Dae Dae,41LfjfTCcTCUdykJqNyFw8,Rap music,https://i.scdn.co/image/ab6761610000e5eb1d9ba2e65ac287e19968fae5
106,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e
107,Damso,2UwqpfQtNuhBwviIC0f2ie,Rap music,https://i.scdn.co/image/ab6761610000e5eb2c7ede97239d20260baa9cdc
108,Danger,5jco0Od4vChi5xTq1EZDRn,,https://i.scdn.co/image/ab67616d0000b2734f6a47e662f88252a96365ca
109,David Banner,7jFaoqWPhYLrKzjzlpXmUO,Rhythm and blues,https://i.scdn.co/image/4313930ec65d6adbafdcffe5f08270de828a79df
110,Depeche Mode,762310PdDnwsDxAQxzQkfX,,https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c
111,Des'ree,73ZPfpfg1LBVvDEArK4l5B,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb93b0ecceb2fec8e515bdac37
112,Desiigner,7pFeBzX627ff0VnN6bxPR4,Rap music,https://i.scdn.co/image/ab6761610000e5eb7142aa94e6774b71d88eb3bd
113,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76
114,Devonte,0M1ImWN3uInxUCZVIE9uxa,,https://i.scdn.co/image/ab6761610000e5eb409b7842b75d071739f2eaa8
115,Diamond Platnumz,3cAisWS37sGCCtRgWfvrod,,https://i.scdn.co/image/ab6761610000e5ebdd3584a621a443882fbdfc7d
116,Dido,2mpeljBig2IXLXRAFO9AAs,,https://i.scdn.co/image/ab6761610000e5ebf36e7b59cdaa0df8bee8e63f
435,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb460f728695000dadb44a4e8c
117,Disclosure,6nS5roXSAGhTGr34W6n7Et,,https://i.scdn.co/image/ab6761610000e5eb3faf416d3be99d63fec18baa
118,Discobitch,48vWW7ozlrI3oT6zecxDUV,,https://i.scdn.co/image/ab67616d0000b273aefb45a6e8a68685b3b3a025
119,Distruction Boyz,44MG6uiTa2VeYlcy6VKDXe,,https://i.scdn.co/image/ab6761610000e5eb35d00cd4724f50c8142ea630
120,Dladla Mshunqisi,5M9mFjVaPT2T1HFYFFSoCt,,https://i.scdn.co/image/ab6761610000e5eb37606bb1b959a7bd8bef63a5
121,Doris Day,3ESG6pj6a0LvUKklENalT6,,https://i.scdn.co/image/c11bb32e6a96a88cffce8f459ca93ef0bbc12ec6
122,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,Rap music,https://i.scdn.co/image/170254ebdd747f4e7045df1cae8f11a42dc1a547
123,Drake,3TVXtAsR1Inumwj472S9r4,Rap music,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
124,Dru Hill,1255GTUKNCLCTvH9ctD4cT,,https://i.scdn.co/image/486972d0215af437990698714e81ffdc177ee82f
