name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Eurythmics,Eurythmics,,1980,0NKDgy9j66h3DLnN8qu1bB,Electro house,https://i.scdn.co/image/ab6761610000e5eb145a01fb993c3088fe6ac5e7,https://fr.wikipedia.org/wiki/Eurythmics,1
Evanescence,Evanescence,,1995,5nGIFgo0shDenQYSE0Sn7c,Pop rock,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b,https://fr.wikipedia.org/wiki/Evanescence,1
Fatal Bazooka,Fatal Bazooka,,2006,68DWke2VjdDmA75aJX5C57,French pop,https://i.scdn.co/image/ab6761610000e5eb009e7843e0c929a1f2c34c27,https://fr.wikipedia.org/wiki/Fatal_Bazooka,1
Fifth Harmony,Fifth Harmony,,2012,1l8Fu6IkuTP0U5QetQJ5Xt,Traditional pop music,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97,https://fr.wikipedia.org/wiki/Fifth_Harmony,1
Flipmode Squad,Flipmode Squad,,1996,7JXCJDLGh1k9cg6JbYCpYl,Rhythm and blues,https://i.scdn.co/image/ab67616d0000b27323436e32ad40bb78d3610f8d,https://fr.wikipedia.org/wiki/Flipmode_Squad,1
Foreigner,Foreigner,,1976,6IRouO5mvvfcyxtPDKMYFN,nan,https://i.scdn.co/image/ab6761610000e5ebb338d6964565206f741d5ad1,https://fr.wikipedia.org/wiki/Foreigner,1
Fugees,Fugees,,1990,2WKdxPFRD7IqZvlIAvhMgY,Rhythm and blues,https://i.scdn.co/image/52bae8b59a21ec1ee6bc07a1e08382333bea27d6,https://fr.wikipedia.org/wiki/Fugees,1
GS Boyz,GS Boyz,,2004,7Ej52CNJlhlwWROkrcjKLL,Rap music,https://i.scdn.co/image/ab6761610000e5ebecd1cf094ae8d075cd1b34a2,,1
Gotan Project,Gotan Project,,1999,44ejFPE33H5aOInxNV2BFP,nan,https://i.scdn.co/image/ab6761610000e5ebfc6bddb68122d983a934a4b2,https://fr.wikipedia.org/wiki/Gotan_Project,1
Hollow Coves,Hollow Coves,,,7IAFAOtc9kTYNTizhLSWM6,Indie pop,https://i.scdn.co/image/ab6761610000e5eb1ee1cdaa581cc2784ed10f08,https://fr.wikipedia.org/wiki/Hollow_Coves,1
HollyG,HollyG,,,6zyKieIrkN8p44Z1JdPNde,Bouyon,https://i.scdn.co/image/ab6761610000e5eb959cf1b59b390757bb324c93,,1
Hooverphonic,Hooverphonic,,1995,5EP020iZcwBqHRnJftibXX,nan,https://i.scdn.co/image/ab6761610000e5eb1f66a237db39260155162f93,https://fr.wikipedia.org/wiki/Hooverphonic,1
Jabberwocky,Jabberwocky,,2009,7AVxhrWi3oA5Setg6vvAoT,nan,https://i.scdn.co/image/ab6761610000e5eb7ee6b5a8687801d515ae3909,https://fr.wikipedia.org/wiki/Jabberwocky_(groupe),1
Kaoma,Kaoma,,1987,1LsXqDdYVyONhrjAORENbu,nan,https://i.scdn.co/image/ab67616d0000b27370a92681f8aff88714cb0296,https://fr.wikipedia.org/wiki/Kaoma,1
Keane,Keane,,1995,53A0W3U0s8diEn9RhXQhVz,nan,https://i.scdn.co/image/ab6761610000e5eb92f6dba2793814a1c5aa8d35,https://fr.wikipedia.org/wiki/Keane_(groupe),1
Kool & The Gang,Kool & The Gang,,1964,3VNITwohbvU5Wuy5PC6dsI,nan,https://i.scdn.co/image/ab6761610000e5eb69287c3f1b150bbead642499,https://fr.wikipedia.org/wiki/Kool_%26_the_Gang,1
Kyo,Kyo,,1997,15uQG9wIjrfNYm9rHcEFwS,nan,https://i.scdn.co/image/ab6761610000e5eb9ab4bce8ed6a72ab17b42ffc,https://fr.wikipedia.org/wiki/Kyo_(groupe),1
Led Zeppelin,Led Zeppelin,,1968,36QJpDe2go2KgaRleHCDTp,nan,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e,https://fr.wikipedia.org/wiki/Led_Zeppelin,1
