id,artist,name,genre,artist_name,featured_artists,youtube_id,year,difficulty
115,87,I'm God R.I.P,Indie pop,Clams Casino,David Higgs,FJJ8hWDXWGs,0,1
116,88,Mr. President,Alternative rock,Coco Jambo,,bY-oMCmrvPM,0,5
118,89,Bubbly,Folk pop,Colbie Caillat,,AWGqoCNbsvM,2007,3
117,89,Realize,Folk pop,Colbie Caillat,,GlZxZ2n2zpw,2007,4
119,91,Nightshift,Funk,Commodores,,FrkEDe6Ljqs,0,1
120,92,Gangsta's Paradise,Rap music,Coolio,,fPO76Jlnz6c,0,1
121,93,Like a star,Indie folk,Corinne Bailey Rae,,JRfKFJRNMDk,2006,1
122,94,Parce qu'on vient de loin,French pop,Corneille,,WDr3qCcXKXk,0,1
123,95,7 Days,Rhythm and blues,Craig David,,VNSgKDRndpQ,0,1
124,96,Karma Chameleon,Country pop,Culture Club,,JmcA9LIIXWw,0,1
126,97,Time After Time,Pop rock,Cyndi Lauper,,VdQY7BusJNU,0,1
125,97,Girls Just Want To Have Fun,Pop rock,Cyndi Lauper,,PIb6AZdTr-A,0,1
127,98,Pour Un Infidèle,French pop,Cœur De Pirate,Julien Doré,i02K3d_HgdQ,0,2
128,99,Paper Trails,Electroacoustic,DARKSIDE,,PAAUqBghiVo,0,5
129,101,X Gon' Give It To Ya,Rap music,DMX,,fGx6K90TmCI,0,1
132,103,Suge,Rap music,Dababy,,KvuQNNVrbtM,0,1
131,103,BOP on Broadway,Rap music,DaBaby,,28hYUZMufDg,0,1
130,103,Baby Day,Rap music,Da Baby,Lil Baby,_2P9-ss8AOA,0,1
133,105,"Wat U Mean (Aye, Aye, Aye)",Rap music,Dae Dae,,yC27zqpO_KI,2016,3
134,106,One More Time,Disco,Daft Punk,,FGBhQbmPwH8,0,1
135,107,Γ. Mosaïque Solitaire,Rap music,Damso,,q2c7Ie1Sz1Q,0,1
136,109,Play,Rhythm and blues,David Banner,,qld7WvHa5kc,2005,2
137,110,Personal Jesus,Alternative rock,Depeche Mode,,u1xrNaTO1bI,0,5
139,111,Life,Rhythm and blues,Des'ree,,BKtrWU4zaaI,1998,2
138,111,You Gotta Be,Rhythm and blues,Des'ree,,pO40TcKa_5U,1994,2
140,112,Tiimmy Turner,Rap music,Desiigner,,ProbPpO_8oo,2016,1
143,113,Bug-A-Boo,Rhythm and blues,Destiny's Child,,9i-y0G8nNA8,1999,1
142,113,"Independent Women, Pt. 1",Rhythm and blues,Destiny's Child,,0lPQZni7I18,1999,1
141,113,"Bills, Bills, Bills",Rhythm and blues,Destiny's Child,,NiF6-0UTqtc,1999,1
145,115,Waah!,Afrobeat,Diamond Platnumz,Koffi Olomide,HCuTwNgY3_M,0,2
144,115,Inama,Afrobeat,Diamond Platnumz,Fally Ipupa,x96N7f62GE4,0,1
147,116,Thank You,Pop rock,Dido,,1TO48Cnl66w,0,1
146,116,White Flag,Pop rock,Dido,,j-fWDrZSiZs,0,2
513,435,That's What Friends Are For,Rhythm and blues,,,HyTpu6BmE88,1985,5
148,117,You and Me,Electro music,Disclosure,,tkAKj-L8ono,0,3
149,118,C'est Beau La Bourgeoisie,Dance-pop,Discobitch,,QKVQ2r-_zQk,0,1
150,120,Pakisha,Afrobeat,Dladla Mshunqisi,"Distruction Boyz,DJ Tira",ap2YvNDn6xM,0,1
151,121,Que Sera Sera,Indie rock,Doris Day,,0WNHNfBUFB0,0,5
152,122,Still D.R.E.,Rap music,Dr. Dre,,_CL6n0FJZpk,0,1
153,123,Yes Indeed,Rap music,Drake,Lil Baby,AbEHRrq7xwU,0,1
154,125,Mercy,Pop soul,Duffy,,eJCrb1oNbH4,0,2
155,127,Boogie Wonderland,Funk,"Earth, Wind & Fire",,god7hAPv8f0,0,1
156,129,Stereo Love,Dance-pop,Edward Maya,Vika Jigulina,ekIMGAmgXSI,0,3
157,131,Fly,Indie pop,Ellie Goulding,,Zmcj1MzwIXI,0,4
158,132,Can't Help Falling In Love,Rock and roll,Elvis Presley,,gSOZoaMaOzs,0,1
162,133,Désert,French pop,Emilie Simon,,V0nnqvZitM0,0,4
161,133,The Frozen World,French pop,Emilie Simon,,UuNK08h2N7A,0,5
160,133,Chanson De Toile,French pop,Emilie Simon,,wr9i3LX-nas,0,3
159,133,To The Dancers on the Ice,French pop,Emilie Simon,,7EKuymIYCtE,0,4
163,134,Bad Meets Evil - The Reunion,Rap music,Eminem,,jfpIOnJXp6E,0,1
164,135,My Lovin' (You're Never Gonna Get It),Rhythm and blues,En Vogue,,JIuYQ_4TcXg,1992,5
