artist,name,genre,featured_artists,youtube_id,year,difficulty
Christina Aguilera,Genie In A Bottle,Pop rock,nan,kIDWgqDBNXA,1999,1
Christina Aguilera,Fighter,Pop rock,nan,PstrAfoMKlc,2002,2
Christina Aguilera,Beautiful,Pop rock,nan,aoYEQgG4-JY,2002,1
Christina Aguilera,Hurt,Pop rock,nan,wwCykGDEp7M,2006,1
Christina Aguilera,Ain't No Other Man,Pop rock,nan,8x7Ta89QLo4,2017,1
Christina Aguilera,Dirrty,Pop rock,nan,4Rg3sAb8Id8,2002,1
Christina Aguilera,Lady Marmalade,Soul blues,"Lil' Kim,Mya,P!nk",RQa7SvVCdZk,2001,1
Christine and the Queens,Christine,French pop,,rs40yxHjTxQ,2014,3
Chronixx,Real Rock Riddim,Ragga,Koffee,ne1oIaPIyIw,2014,5
Ciara,Goodies,Hip hop soul,,YtC92pzp5vw,2004,1
Ciara,Like A Boy,Hip hop soul,,_HKH7Emy1SY,2006,1
Ciara,Oh,Rhythm and blues,Ludacris,Hr4wz4-27PY,2004,1
Ciara,"1, 2 Step",Rhythm and blues,Missy Elliott,iBHNgV6_znU,2004,1
Cigarettes After Sex,Nothing's Gonna Hurt You Baby,Electropop,nan,R2LQdh42neg,2012,4
Clams Casino,I'm God R.I.P,Indie pop,David Higgs,FJJ8hWDXWGs,2009,1
Cocoon,My Friends All Died In A Plane Crash,Indie folk,,d9i_zXmULyk,2005,5
Coeur de Pirate,Cœur De Pirate,Ballade,,U-fU_V7Boic,2008,1
Coi Leray,Players,Rap music,nan,5gr755jYWQU,2022,4
Coi Leray,Blick Blick!,Rap music,nan,1N1RwMOcjks,2022,3
Colbie Caillat,Realize,Folk pop,nan,GlZxZ2n2zpw,2007,4
Colbie Caillat,Bubbly,Folk pop,nan,AWGqoCNbsvM,2007,3
Commodores,Nightshift,Funk,nan,FrkEDe6Ljqs,1985,1
Coolio,Gangsta's Paradise,Rap music,nan,fPO76Jlnz6c,1995,1
Corinne Bailey Rae,Like a star,Indie folk,nan,JRfKFJRNMDk,2006,1
Corneille,Parce qu'on vient de loin,French pop,nan,WDr3qCcXKXk,2003,1
Cowboy Junkies,Sweet Jane,Pop rock,,Fa9nN3G2CSg,1988,5
Craig David,7 Days,Rhythm and blues,nan,VNSgKDRndpQ,2000,1
Culture Club,Karma Chameleon,Country pop,nan,JmcA9LIIXWw,1983,1
Cyndi Lauper,Girls Just Want To Have Fun,Pop rock,nan,PIb6AZdTr-A,1983,1
Cyndi Lauper,Time After Time,Pop rock,nan,VdQY7BusJNU,1983,1
Céline Dion,Sous le vent,Ballade,Garou,a2_ss9y-VjE,2001,1
Céline Dion,I'm Alive,Ballade,,NJsa6-y4sDs,2002,1
Céline Dion,Pour que tu m'aimes encore,Ballade,,AzaTyxMduH4,1995,1
Cœur De Pirate,Pour Un Infidèle,French pop,Julien Doré,i02K3d_HgdQ,2008,2
